AGED A/R REPORT SUMMARY,,,,,,Date:10/03/2024
CUST.#,NAME,A/R BALANCE,INV.AMT,PAYMENTS,DEB/CRED,FUTURES,CURRENT,1-30,31-60,61-90,OVER-90

176AI   ,ALLIANCE APPL CENTER,3978.3,23182.68,19204.38, , , , , , ,3978.3,
177HN   ,HENDRICKS APPL AND TV,10448.02,159871.76,149423.74, , , , , , ,10448.02,
178SM   ,SMARTER APPLIANCE INC.,4601.62,60227.12,55625.5, , , , , , ,4601.62,
179AO   ,ALCO STORES INC.,4893.07,32845.55,27952.48, ,-33.88, , , , ,4926.95,
180DV   ,DELAWARE VALLEY APPL,47851.95,166518.22,118666.27, , , , , , ,47851.95,
181JM   ,JOHN'S MAYTAG HOME APPL,7307.06,30966.46,23659.4, , , , , , ,7307.06,
182BS   ,BAYSHORE APPLIANCE,3100.51,60781.43,57680.92, , , , , , ,3100.51,
183CB   ,CB JOE TV AND APPLIANCE,1359.9,12471.49,11111.59, , , , , , ,1359.9,
185PD   ,PARKSIDE APPLIANCE,2303.56,6662.42,4358.86, , , , , , ,2303.56,
186MI   ,MILLER REFRIGERATION INC,4089.94,18518.56,14428.62, ,-228.9, , , , ,4318.84,
187RB   ,R BROOKS AND SONS,18058.41,161201.56,143143.15, , , , , , ,18058.41,
188AS   ,APPLIANCE DISCOUNTERS,6712.17,-6712.17, , ,-9000, , , , ,2287.83,
189LH   ,L.H. BRUBAKER APPLIANCE,9046.81,210252.48,201205.67, , , , , , ,9046.81,
18DK    ,D AND K APPLIANCES INC.,59504.51,444521.53,385017.02, , , , , , ,59504.51,
190AA   ,AUTOMATIC APPL PARTS,22047.09,90531.69,68484.6, , , , , , ,22047.09,
191NO   ,NORDAM APPLIANCE,8713.31,28907.1,20193.79, , , , , , ,8713.31,
192AN   ,A.K. NAHAS,47534.29,360166.5,312632.21, ,-2770.14, , , , ,50304.43,
193AL   ,ALLSHOUSE APPLIANCE,52953.13,199065.98,146112.85, , , , , , ,52953.13,
194CR   ,CROSSROADS FURNITURE LLC,30832.6,69776.69,38944.09, , , , , , ,30832.6,
196GA   ,GROVE APPLIANCE,62385.23,174191.67,111806.44, , , , , , ,62385.23,
197RM   ,R.W. MCDONALD AND SONS,838.86,-838.86, , ,-5445.53, , , , ,4606.67,
198WF   ,WAYSIDE FURNITURE,29937.17,99511.97,69574.8, , , , , , ,29937.17,
199NS   ,NORTHSIDE TV AND APPL,2481.07,62465.06,59983.99, ,-1450.11, , , , ,3931.18,
19CW    ,CLARK'S SERVICE IS FIRST,34803.36,90096.98,55293.62, , , , , , ,34803.36,
200HA   ,HOME APPLIANCE COMPANY,51372.16,355374.07,304001.91, , , , , , ,51372.16,
201SC   ,SPROWLS CITY APPL AND TV,22381.5,86905.98,64524.48, , , , , , ,22381.5,
202RW   ,REESE WAREHOUSE,50228.59,120385.23,70156.64, , , , , , ,50228.59,
203JU   ,JUST CABINETS ,2307.34,3583.38,1874.4,4016.32,-2445.81, , , , ,138.47,
204OU   ,OUTTEN BROTHERS INC,1208.45,3153.35,1944.9, , , , , , ,1208.45,
206CW   ,CENTRAL WHOLESALERS INC.,15307.58,27642.89,12335.31, , , , , , ,15307.58,
207PA   ,PALUMBOS,5728.4,48327.23,42598.83, , , , , , ,5728.4,
208SK   ,SKY VIEW APPLIANCE,65290.42,233555.81,168265.39, , , , , , ,65290.42,
209HT   ,HITRONS TECH INC,39281.87,137258.91,97977.04, , , , , , ,39281.87,
20CR    ,CRAIG APPLIANCE,72906.58,140257.91,67351.33, , , , , , ,72906.58,
22BH    ,BETTER HOUSEKEEPING SHOP,61956.4,251919.85,189963.45, ,-16817.77, , , , ,78774.17,
23HA    ,HARVEY APPLIANCE INC.   ,54759.26,107647.66,52888.4, , , , , , ,54759.26,
24MA    ,MILES APPL SLS & SRC,2416.42,54069.69,51653.27, , , , , , ,2416.42,
25DO    ,DOM'S TV INC.,0,50.37,50.37, ,-500, , , , ,500,
260HV   ,HARTVILLE HARDWARE 2,597.29,18652.94,18055.65, , , , , , ,597.29,
26LE    ,LEHIGH SUPPLY INC,55773.64,153028.32,97254.68, , , , , , ,55773.64,
27NU    ,UNEEDA APPLIANCE CO.,48170.76,180944.73,132773.97, , , , , , ,48170.76,
280DV   ,CK SEIDMAN APPLIANCE,3609.44,110957.6,107348.16, ,-25.63, , , , ,3635.07,
28HA    ,HENLOPEN APPLIANCE,13132.38,110053.52,96921.14, ,-3318.47, , , , ,16450.85,
297RM   ,RW MCDONALD,158964.95,169964.95,11000, , , , , , ,158964.95,
29KE    ,KEYSTONE APPL. CO. INC. ,60.6,-60.6, , ,-241.28, , , , ,180.68,
30HE    ,HEIDLEBAUGH'S INC,26376.35,95631.89,69255.54, , , , , , ,26376.35,
31BK    ,B AND K APPLIANCE PARTS,75,14655.78,14580.78, , , , , , ,75,
32AW    ,APPLIANCE BROKERS,71881.79,547156.11,475274.32, ,-355.47, , , , ,72237.26,
33BY    ,BERGEY'S ELECTRIC INC.,15370.25,59626.25,44256, ,-302.08, , , , ,15672.33,
34SE    ,SEE MORE TV APPLIANCE CT,53854.68,667496.58,613641.9, ,-348.42, , , , ,54203.1,
36SH    ,SHORE APPLIANCE CONNECT,3831.73,-3831.73, , ,-3835.45, , , , ,3.72,
37RE    ,RENO'S TV INC.          ,55935.41,521962.4,466026.99, , , , , , ,55935.41,
38TH    ,THORNBERRY APPLIANCE TV ,51318.89,227836.18,176517.29, ,-7939.54, , , , ,59258.43,
39KL    ,KLECKNER AND SONS LLC,51338.73,275580.19,224241.46, , , , , , ,51338.73,
40MA    ,MATTERN'S RIDGE ,24936.78,122063.91,97127.13, , , , , , ,24936.78,
41DE    ,DERBY APPLIANCE STORES  ,44897.28,140098.56,95201.28, , , , , , ,44897.28,
42RD    ,RICHMOND DISCOUNT APPL  ,96516.24,304615.29,208099.05, , , , , , ,96516.24,
43ST    ,STADIUM APPLIANCE CENTER,533.2,-533.2, , ,-533.2, , , , , ,
44SD    ,STROUD TV AND APPLIANCE,18964.6,54275.7,35311.1, , , , , , ,18964.6,
45RG    ,ROGERS APPLIANCE INC.   ,42442.79,251746.22,209303.43, , , , , , ,42442.79,
46PL    ,AMERICAN APPLIANCE SVC,12387.86,76279.63,63891.77, , , , , , ,12387.86,
47ET    ,EATONTOWN TV            ,42519.53,224330.36,181810.83, ,-3926, , , , ,46445.53,
